HEADER
FILENAME:      /home/user/Git/CalculiX-Examples/Thermal/Thermografie/plots.fbl
DATE:          12.4.2017
DATASET-NAME:  NDTEMP  
DATASET-ENTITY:T       
--------------------------------------------------------

TIME INCREMENT / NODE
              ;           495 ;           510 ;          3711 ;          3741 
 2.000000e-02 ;  0.000000e+00 ;  0.000000e+00 ;  0.000000e+00 ;  0.000000e+00 
 4.000000e-02 ;  1.083070e-04 ;  3.821300e-04 ;  4.740980e-01 ;  4.760320e-01 
 6.000000e-02 ;  6.681180e-04 ;  2.309570e-03 ;  7.432460e-01 ;  7.526150e-01 
 8.000000e-02 ;  2.224000e-03 ;  7.432850e-03 ;  9.460800e-01 ;  9.704530e-01 
 1.000000e-01 ;  5.366520e-03 ;  1.718680e-02 ;  1.120110e+00 ;  1.166460e+00 
 1.200000e-01 ;  1.059140e-02 ;  3.236360e-02 ;  1.278850e+00 ;  1.352270e+00 
 1.400000e-01 ;  1.823590e-02 ;  5.312100e-02 ;  1.428340e+00 ;  1.532020e+00 
 1.600000e-01 ;  2.848080e-02 ;  7.919700e-02 ;  1.571610e+00 ;  1.707380e+00 
 1.800000e-01 ;  4.138410e-02 ;  1.101250e-01 ;  1.710380e+00 ;  1.879140e+00 
 2.000000e-01 ;  5.691980e-02 ;  1.453780e-01 ;  1.845680e+00 ;  2.047750e+00 
 2.200000e-01 ;  7.490220e-02 ;  1.840640e-01 ;  1.504100e+00 ;  1.737500e+00 
 2.400000e-01 ;  9.488220e-02 ;  2.245590e-01 ;  1.365170e+00 ;  1.624120e+00 
 2.600000e-01 ;  1.161960e-01 ;  2.648090e-01 ;  1.290610e+00 ;  1.567120e+00 
 2.800000e-01 ;  1.381290e-01 ;  3.030350e-01 ;  1.243200e+00 ;  1.529740e+00 
 3.000000e-01 ;  1.600640e-01 ;  3.381510e-01 ;  1.209630e+00 ;  1.500540e+00 
 3.200000e-01 ;  1.815450e-01 ;  3.697450e-01 ;  1.184070e+00 ;  1.475490e+00 
 3.400000e-01 ;  2.022800e-01 ;  3.978660e-01 ;  1.163630e+00 ;  1.453070e+00 
 3.600000e-01 ;  2.221050e-01 ;  4.227960e-01 ;  1.146720e+00 ;  1.432610e+00 
 3.800000e-01 ;  2.409480e-01 ;  4.449010e-01 ;  1.132420e+00 ;  1.413740e+00 
 4.000000e-01 ;  2.587950e-01 ;  4.645550e-01 ;  1.120130e+00 ;  1.396250e+00 
 4.200000e-01 ;  2.756660e-01 ;  4.820980e-01 ;  1.109440e+00 ;  1.379980e+00 
 4.400000e-01 ;  2.916030e-01 ;  4.978280e-01 ;  1.100070e+00 ;  1.364800e+00 
 4.600000e-01 ;  3.066540e-01 ;  5.119970e-01 ;  1.091790e+00 ;  1.350610e+00 
 4.800000e-01 ;  3.208760e-01 ;  5.248190e-01 ;  1.084430e+00 ;  1.337300e+00 
 5.000000e-01 ;  3.343220e-01 ;  5.364740e-01 ;  1.077840e+00 ;  1.324810e+00 
 5.200000e-01 ;  3.470480e-01 ;  5.471130e-01 ;  1.071910e+00 ;  1.313050e+00 
 5.400000e-01 ;  3.591030e-01 ;  5.568640e-01 ;  1.066540e+00 ;  1.301970e+00 
 5.600000e-01 ;  3.705370e-01 ;  5.658340e-01 ;  1.061660e+00 ;  1.291510e+00 
 5.800000e-01 ;  3.813950e-01 ;  5.741170e-01 ;  1.057190e+00 ;  1.281610e+00 
 6.000000e-01 ;  3.917190e-01 ;  5.817920e-01 ;  1.053090e+00 ;  1.272220e+00 
 6.200000e-01 ;  4.015470e-01 ;  5.889260e-01 ;  1.049300e+00 ;  1.263320e+00 
 6.400000e-01 ;  4.109160e-01 ;  5.955770e-01 ;  1.045790e+00 ;  1.254850e+00 
 6.600000e-01 ;  4.198580e-01 ;  6.017980e-01 ;  1.042520e+00 ;  1.246780e+00 
 6.800000e-01 ;  4.284040e-01 ;  6.076320e-01 ;  1.039450e+00 ;  1.239080e+00 
 7.000000e-01 ;  4.365830e-01 ;  6.131180e-01 ;  1.036570e+00 ;  1.231730e+00 
 7.200000e-01 ;  4.444180e-01 ;  6.182900e-01 ;  1.033850e+00 ;  1.224700e+00 
 7.400000e-01 ;  4.519350e-01 ;  6.231780e-01 ;  1.031270e+00 ;  1.217950e+00 
 7.600000e-01 ;  4.591540e-01 ;  6.278070e-01 ;  1.028820e+00 ;  1.211490e+00 
 7.800000e-01 ;  4.660950e-01 ;  6.322010e-01 ;  1.026490e+00 ;  1.205270e+00 
 8.000000e-01 ;  4.727770e-01 ;  6.363810e-01 ;  1.024250e+00 ;  1.199290e+00 
 8.200000e-01 ;  4.792160e-01 ;  6.403650e-01 ;  1.022110e+00 ;  1.193540e+00 
 8.400000e-01 ;  4.854280e-01 ;  6.441690e-01 ;  1.020050e+00 ;  1.187980e+00 
 8.600000e-01 ;  4.914270e-01 ;  6.478080e-01 ;  1.018060e+00 ;  1.182620e+00 
 8.800000e-01 ;  4.972250e-01 ;  6.512940e-01 ;  1.016130e+00 ;  1.177440e+00 
 9.000000e-01 ;  5.028350e-01 ;  6.546390e-01 ;  1.014270e+00 ;  1.172430e+00 
 9.200000e-01 ;  5.082670e-01 ;  6.578540e-01 ;  1.012470e+00 ;  1.167570e+00 
 9.400000e-01 ;  5.135320e-01 ;  6.609470e-01 ;  1.010710e+00 ;  1.162870e+00 
 9.600000e-01 ;  5.186390e-01 ;  6.639290e-01 ;  1.009000e+00 ;  1.158300e+00 
